liga,name,posicao_projeto,idade,current_club_name,country_of_citizenship,dados_completos,partidas_jogadas,minutos_jogados,gols,assistencias,gols_90,assistencias_90,finalizacoes_alvo_90,cruzamentos_90,desarmes_90,interceptacoes_90,gols_90_norm,assistencias_90_norm,finalizacoes_alvo_90_norm,cruzamentos_90_norm,desarmes_90_norm,interceptacoes_90_norm,market_value_in_eur,score
ligue_1,Guillaume Restes,Goleiro,21.0,Toulouse Football Club,France,True,96.0,8545.0,0,1,0.0,0.0105324751316559,0.0,0.0,0.0,0.0305810397553516,0.0,0.0157011897795982,0.0,0.0,0.0,0.0116763969974979,18000000.0,0.5740740740740741
ligue_1,Kyllian Antonio,Zagueiro,18.0,Racing Club de Lens,France,True,7.0,328.0,0,1,0.0,0.274390243902439,0.0,0.9523809523809524,1.9047619047619049,2.380952380952381,0.0,0.4090447154471545,0.0,0.0894660894660894,0.3809523809523809,0.9090909090909092,3000000.0,3.225108225108225
ligue_1,Raphaël Le Guen,Zagueiro,19.0,Stade brestois 29,France,True,6.0,373.0,0,0,0.0,0.0,0.238095238095238,0.0,0.7142857142857143,2.619047619047619,0.0,0.0,0.0748299319727891,0.0,0.1428571428571428,1.0,800000.0,2.857142857142857
la_liga,Ismael Bekhoucha,Lateral,21.0,Getafe Club de Fútbol S. A. D. Team Dubai,Morocco,True,9.0,185.0,0,1,0.0,0.4864864864864865,0.0,2.857142857142857,3.571428571428572,1.4285714285714286,0.0,0.7252252252252254,0.0,0.2683982683982684,0.7142857142857144,0.5454545454545455,300000.0,2.701532701532702
bundesliga,Max Finkgräfe,Lateral,22.0,RasenBallsport Leipzig,Germany,True,37.0,2259.0,2,1,0.0796812749003984,0.0398406374501992,0.3571428571428571,6.607142857142858,2.142857142857143,1.4285714285714286,0.0757857459052678,0.0593920613840932,0.1122448979591836,0.6206709956709958,0.4285714285714286,0.5454545454545455,5000000.0,1.7886975426816067
premier_league,Soungoutou Magassa,Volante,22.0,West Ham United Football Club,France,True,22.0,979.0,1,0,0.0919305413687436,0.0,0.18348623853211,0.8256880733944953,2.110091743119266,1.5596330275229358,0.0874361593462717,0.0,0.0576671035386631,0.0775646371976647,0.4220183486238532,0.5954962468723937,17000000.0,2.0787472706656294
premier_league,Rayan Cherki,Meia,22.0,Manchester City Football Club,France,True,33.0,1786.0,4,12,0.2015677491601343,0.604703247480403,0.6565656565656566,4.040404040404041,0.8080808080808081,0.3535353535353535,0.1917133258678611,0.9014557670772676,0.2063492063492063,0.3795531068258341,0.1616161616161616,0.1349862258953168,90000000.0,3.467347059793359
bundesliga,Can Uzun,Meia,20.0,Eintracht Frankfurt Fußball AG,Türkiye,True,41.0,1832.0,12,7,0.5895196506550218,0.343886462882096,1.484375,1.875,0.703125,0.234375,0.5606986899563319,0.5126455604075691,0.4665178571428571,0.1761363636363636,0.140625,0.0894886363636363,45000000.0,2.8354704247717346
la_liga,Lamine Yamal,Ponta,18.0,Futbol Club Barcelona,Spain,True,101.0,7337.0,30,34,0.3679978192721821,0.4170641951751397,1.4741035856573703,3.0677290836653386,0.796812749003984,0.3187250996015936,0.350006814774431,0.6217345872518287,0.4632896983494593,0.2881806108897742,0.1593625498007968,0.1216950380296993,200000000.0,3.2034048169685536
ligue_1,Afonso Moreira,Ponta,21.0,Olympique Lyonnais,Portugal,True,27.0,1719.0,4,8,0.2094240837696335,0.418848167539267,0.7329842931937173,6.230366492146596,1.1518324607329842,0.6282722513089005,0.1991855730075625,0.6243940275353889,0.2303664921465968,0.5852768522925591,0.2303664921465968,0.2398857686815802,20000000.0,3.0560156539214134
ligue_1,Julián Vignolo,Centroavante,19.0,Toulouse Football Club,Argentina,True,13.0,184.0,2,0,0.9782608695652174,0.0,3.1818181818181817,4.545454545454545,1.3636363636363635,0.0,0.9304347826086956,0.0,1.0,0.4269972451790633,0.2727272727272727,0.0,1500000.0,5.721739130434782
